월(Monthly),구분,시군구,미분양현황
서울,성동구,104,
서울,광진구,20,
서울,동대문구,7,
서울,중랑구,0,
서울,성북구,164,
서울,강북구,0,
서울,도봉구,0,
서울,노원구,0,
서울,은평구,208,
서울,서대문구,0,
서울,마포구,222,
서울,양천구,210,
서울,강서구,24,
서울,구로구,0,
서울,금천구,0,
서울,영등포구,40,
서울,동작구,601,
서울,관악구,60,
서울,서초구,269,
서울,강남구,19,
서울,송파구,0,
서울,강동구,66,
부산,계,14,790.0
부산,중구,0,
부산,서구,1,406.0
부산,동구,194,
부산,영도구,149,
부산,부산진구,55,
부산,동래구,1,702.0
부산,남구,1,232.0
부산,북구,512,
부산,해운대구,31,
부산,사하구,1,660.0
부산,금정구,1,18.0
부산,강서구,1,376.0
부산,연제구,1,998.0
부산,수영구,518,
부산,사상구,764,
부산,기장군,2,175.0
대구,계,20,691.0
대구,중구,429,
대구,동구,1,315.0
대구,서구,2,108.0
대구,남구,399,
대구,북구,2,357.0
대구,수성구,4,589.0
대구,달서구,7,883.0
대구,달성군,1,611.0
인천,계,2,157.0
인천,중구,102,
인천,동구,719,
인천,남구,0,
인천,연수구,619,
인천,남동구,27,
인천,부평구,43,
인천,계양구,598,
인천,서구,49,
인천,강화군,0,
인천,옹진군,0,
광주,계,11,384.0
광주,동구,1,744.0
광주,서구,11,
광주,남구,1,276.0
광주,북구,1,460.0
광주,광산구,6,893.0
대전,계,3,169.0
대전,동구,982,
대전,중구,226,
대전,서구,39,
대전,유성구,724,
대전,대덕구,1,198.0
울산,계,9,84.0
울산,중구,2,610.0
울산,남구,91,
울산,동구,3,453.0
울산,북구,1,697.0
울산,울주군,1,233.0
경기,계,24,704.0
경기,수원시,1,796.0
경기,성남시,80,
경기,의정부시,0,
경기,안양시,346,
경기,부천시,1,710.0
경기,광명시,0,
경기,평택시,2,314.0
경기,동두천시,0,
경기,안산시,35,
경기,고양시,3,787.0
경기,과천시,0,
경기,구리시,42,
경기,남양주시,1,277.0
경기,오산시,348,
경기,시흥시,118,
경기,군포시,155,
경기,의왕시,0,
경기,하남시,377,
경기,용인시,6,909.0
경기,파주시,611,
경기,이천시,1,33.0
경기,안성시,1,264.0
경기,김포시,746,
경기,양주시,248,
경기,여주군,1,88.0
경기,화성시,38,
경기,광주시,0,
경기,연천군,0,
경기,포천시,63,
경기,가평군,30,
경기,양평군,289,
강원,계,9,746.0
강원,춘천시,1,160.0
강원,원주시,4,6.0
강원,강릉시,1,786.0
강원,동해시,202,
강원,태백시,712,
강원,속초시,126,
강원,삼척시,383,
강원,홍천군,45,
강원,횡성군,252,
강원,영월군,0,
강원,평창군,494,
강원,정선군,0,
강원,철원군,295,
강원,화천군,54,
강원,양구군,0,
강원,인제군,0,
강원,고성군,132,
강원,양양군,99,
충북,계,7,403.0
충북,청주시,2,786.0
충북,충주시,575,
충북,제천시,1,299.0
충북,청원군,1,341.0
충북,보은군,0,
충북,옥천군,0,
충북,영동군,36,
충북,증평군,21,
충북,진천군,921,
충북,괴산군,0,
충북,음성군,406,
충북,단양군,18,
충남,계,17,939.0
충남,천안시,8,747.0
충남,공주시,252,
충남,보령시,237,
충남,아산시,2,554.0
충남,서산시,370,
충남,논산시,357,
충남,계룡시,679,
충남,금산군,3,
충남,연기군,2,231.0
충남,부여군,0,
충남,서천군,81,
충남,청양군,0,
충남,홍성군,271,
충남,예산군,321,
충남,태안군,285,
충남,당진군,1,551.0
전북,계,4,876.0
전북,전주시,2,618.0
전북,군산시,1,671.0
전북,익산시,34,
전북,정읍시,84,
전북,남원시,170,
전북,김제시,0,
전북,완주군,21,
전북,진안군,91,
전북,무주군,0,
전북,장수군,0,
전북,임실군,0,
전북,순창군,0,
전북,고창군,187,
전북,부안군,0,
전남,계,5,843.0
전남,목포시,2,702.0
전남,여수시,142,
전남,순천시,461,
전남,나주시,527,
전남,광양시,916,
전남,담양군,0,
전남,곡성군,0,
전남,구례군,0,
전남,고흥군,8,
전남,보성군,0,
전남,화순군,0,
전남,장흥군,0,
전남,강진군,14,
전남,해남군,22,
전남,영암군,54,
전남,무안군,949,
전남,함평군,5,
전남,영광군,39,
전남,장성군,0,
전남,완도군,0,
전남,진도군,4,
전남,신안군,0,
경북,계,14,871.0
경북,포항시,5,974.0
경북,경주시,1,377.0
경북,김천시,325,
경북,안동시,174,
경북,구미시,3,540.0
경북,영주시,421,
경북,영천시,204,
경북,상주시,4,
경북,문경시,70,
경북,경산시,2,133.0
경북,군위군,0,
경북,의성군,0,
경북,청송군,0,
경북,영양군,0,
경북,영덕군,0,
경북,청도군,0,
경북,고령군,145,
경북,성주군,0,
경북,칠곡군,433,
경북,예천군,2,
경북,봉화군,0,
경북,울진군,69,
경북,울릉군,0,
경남,계,14,479.0
경남,창원시,0,
경남,마산시,751,
경남,진주시,2,192.0
경남,진해시,2,985.0
경남,통영시,854,
경남,사천시,169,
경남,김해시,821,
경남,밀양시,1,453.0
경남,거제시,42,
경남,양산시,754,
경남,의령군,4,21.0
경남,함안군,40,
경남,창녕군,86,
경남,고성군,12,
경남,남해군,0,
경남,하동군,0,
경남,산청군,0,
경남,함양군,292,
경남,거창군,6,
경남,합천군,1,
제주,계,425,
제주,제주시,317,
제주,서귀포시,108,
서울,계,2,136.0
서울,종로구,45,
서울,중구,225,
서울,용산구,0,
서울,성동구,96,
서울,광진구,22,
서울,동대문구,7,
서울,중랑구,0,
서울,성북구,157,
서울,강북구,0,
서울,도봉구,0,
서울,노원구,0,
서울,은평구,185,
서울,서대문구,0,
서울,마포구,228,
서울,양천구,191,
서울,강서구,7,
서울,구로구,0,
서울,금천구,0,
서울,영등포구,23,
서울,동작구,662,
서울,관악구,48,
서울,서초구,149,
서울,강남구,19,
서울,송파구,12,
서울,강동구,60,
부산,계,13,602.0
부산,중구,0,
부산,서구,1,245.0
부산,동구,194,
부산,영도구,149,
부산,부산진구,44,
부산,동래구,1,683.0
부산,남구,1,186.0
부산,북구,454,
부산,해운대구,31,
부산,사하구,1,547.0
부산,금정구,972,
부산,강서구,1,214.0
부산,연제구,1,663.0
부산,수영구,505,
부산,사상구,616,
부산,기장군,2,99.0
대구,계,19,851.0
대구,중구,422,
대구,동구,1,146.0
대구,서구,2,18.0
대구,남구,341,
대구,북구,2,377.0
대구,수성구,4,178.0
대구,달서구,7,755.0
대구,달성군,1,614.0
인천,계,2,16.0
인천,중구,102,
인천,동구,631,
인천,남구,0,
인천,연수구,618,
인천,남동구,27,
인천,부평구,35,
인천,계양구,554,
인천,서구,49,
인천,강화군,0,
인천,옹진군,0,
광주,계,8,565.0
광주,동구,1,447.0
광주,서구,11,
광주,남구,992,
광주,북구,969,
광주,광산구,5,146.0
대전,계,3,12.0
대전,동구,865,
대전,중구,328,
대전,서구,37,
대전,유성구,617,
대전,대덕구,1,165.0
울산,계,7,991.0
울산,중구,2,105.0
울산,남구,87,
울산,동구,2,807.0
울산,북구,1,742.0
울산,울주군,1,250.0
경기,계,23,192.0
경기,수원시,1,654.0
경기,성남시,67,
경기,의정부시,0,
경기,안양시,157,
경기,부천시,1,593.0
경기,광명시,0,
경기,평택시,1,999.0
경기,동두천시,0,
경기,안산시,32,
경기,고양시,3,305.0
경기,과천시,0,
경기,구리시,41,
경기,남양주시,1,267.0
경기,오산시,329,
경기,시흥시,87,
경기,군포시,152,
경기,의왕시,0,
경기,하남시,362,
경기,용인시,6,703.0
경기,파주시,562,
경기,이천시,1,8.0
경기,안성시,1,177.0
경기,김포시,670,
경기,양주시,534,
경기,여주군,1,79.0
경기,화성시,37,
경기,광주시,0,
경기,연천군,0,
경기,포천시,63,
경기,가평군,30,
경기,양평군,284,
강원,계,9,249.0
강원,춘천시,1,103.0
강원,원주시,3,932.0
강원,강릉시,1,775.0
강원,동해시,195,
강원,태백시,711,
강원,속초시,122,
강원,삼척시,59,
강원,홍천군,45,
강원,횡성군,239,
강원,영월군,0,
강원,평창군,494,
강원,정선군,0,
강원,철원군,295,
강원,화천군,53,
강원,양구군,0,
강원,인제군,0,
강원,고성군,132,
강원,양양군,94,
충북,계,6,821.0
충북,청주시,2,371.0
충북,충주시,575,
충북,제천시,1,299.0
충북,청원군,1,192.0
충북,보은군,0,
충북,옥천군,0,
충북,영동군,27,
충북,증평군,21,
충북,진천군,925,
충북,괴산군,0,
충북,음성군,393,
충북,단양군,18,
충남,계,17,229.0
충남,천안시,8,516.0
충남,공주시,248,
충남,보령시,204,
충남,아산시,2,290.0
충남,서산시,347,
충남,논산시,256,
충남,계룡시,679,
충남,금산군,3,
충남,연기군,2,210.0
충남,부여군,0,
충남,서천군,76,
충남,청양군,0,
충남,홍성군,236,
충남,예산군,318,
충남,태안군,295,
충남,당진군,1,551.0
전북,계,4,643.0
전북,전주시,2,578.0
전북,군산시,1,492.0
전북,익산시,31,
전북,정읍시,73,
전북,남원시,170,
전북,김제시,0,
전북,완주군,21,
전북,진안군,91,
전북,무주군,0,
전북,장수군,0,
전북,임실군,0,
전북,순창군,0,
전북,고창군,187,
전북,부안군,0,
전남,계,6,178.0
전남,목포시,2,561.0
전남,여수시,626,
전남,순천시,461,
전남,나주시,525,
전남,광양시,916,
