연월,지역,사업유형,주소,주택명,세대수
2026-12,전남,분양,전라남도 목포시 석현동  1175-11,하당 르파르크시그니처,70
2025-02,전남,임대,전라남도 목포시 석현동 669-38,중해마루힐,264
2025-02,전남,분양,전라남도 무안군 일로읍  오룡리 284,남악오룡 시티프라디움,534
2025-07,전남,분양,전라남도 무안군 일로읍 망월리 43블록,무안 오룡지구 우미린 1차,372
2025-07,전남,임대,전라남도 무안군 일로읍 망월리 43블록,무안 오룡지구 우미린 2차,685
2025-07,전남,분양,전라남도 순천시 덕암동  142-0,순천 푸르지오 더 퍼스트,560
2025-06,전남,분양,전라남도 순천시 조례동  1519-1,조례 한양수자인 디에디션,340
2025-06,전남,분양,전라남도 여수시 관문동  232-0,여수 더로제아델리움 해양공원,184
2025-01,전남,분양,전라남도 여수시 오림동  373-0,한국아델리움 프라하,186
2025-10,전남,분양,전라남도 여수시 학동  74-0,쌍용 더플래티넘 여수 35,244
2026-06,전남,분양,전라남도 장성군 장성읍 기산리 112-3,장성 남양휴튼 리버파크,180
2026-10,전남,분양,전라남도 장성군 진원면  0-0,힐스테이트 첨단센트럴,1520
2026-10,전남,분양,전라남도 장성군 진원면 산동리 0-0,첨단 제일풍경채 A2블록,1845
2025-04,전남,임대,전라남도 장흥군 장흥읍 건산리 757-3,장흥 대경 파미안 임대아파트,68
2025-05,전남,분양,전라남도 함평군 대동면 향교리 827-5,함평 엘리체 시그니처,232
2026-02,전남,임대,전라남도 해남군 해남읍 해리 0-0,해남해리 2BL 국민임대주택,400
2025-12,전남,분양,전라남도 화순군 화순읍 삼천리 703-0,화순센텀 모아엘가 트레뷰,341
2026-08,전북,조합,전라북도 익산시 신동 142-111,청솔아파트 ,295
2025-03,전북,분양,전라북도 익산시 평화동 90-20 일원(익산평화지구),익산평화 주거환경개선사업지구 공공분양주택,1053
2025-09,전북,분양,전북특별자치도 고창군 고창읍 석교리 11-2,고창 광신프로그레스,206
2026-12,전북,분양,전북특별자치도 군산시 경장동  504-4,효성해링턴 플레이스 군산,275
2025-07,전북,분양,전북특별자치도 군산시 구암동  272-3,e편한세상 군산 디오션루체,800
2025-05,전북,분양,전북특별자치도 군산시 구암동  317-4,더샵 군산프리미엘,704
2025-10,전북,분양,전북특별자치도 군산시 내흥동  1019-0,군산 신역세권 예다음,569
2025-06,전북,임대,전북특별자치도 군산시 미룡동  산 197-0,제이아트 은파 더 레이크 장기일반민간임대주택,219
2026-12,전북,임대,전북특별자치도 군산시 미룡동 92-13,은파호수공원유탑유블레스(민간임대),378
2026-05,전북,분양,전북특별자치도 군산시 조촌동  739-6,군산 경남아너스빌 디오션,873
2026-03,전북,분양,전북특별자치도 군산시 지곡동  126-0,군산 한라비발디 더프라임,633
2025-12,전북,분양,전북특별자치도 군산시 지곡동  332-1,군산 지곡 한라비발디 2차 은파레이크뷰,291
2026-12,전북,분양,전북특별자치도 군산시 지곡동  산 137-1,군산 레이크시티 아이파크,722
2025-06,전북,분양조합,전북특별자치도 김제시 금구면 금구리 323-0,남전주IC 서희스타힐스,613
2025-05,전북,임대,전북특별자치도 김제시 백산면 부거리 0-0,김제지평선 행복주택 일자리연계형 지원주택,120
2025-03,전북,분양,전북특별자치도 남원시 노암동  599-0,남원 드림헤이븐,115
2026-10,전북,분양조합,전북특별자치도 완주군 봉동읍 용암리 48-1,봉동 한양립스 센텀포레,516
2025-04,전북,임대,전북특별자치도 완주군 소양면 황운리 837-0,완주황운 국민임대주택,80
2025-00,전북,분양,전북특별자치도 익산시 남중동  454-1,남중동 오투그란데 뉴퍼스트,298
2025-05,전북,임대,전북특별자치도 익산시 낭산면 용기리 1953-1,행복주택 일자리연계형 지원주택,200
2025-02,전북,분양,전북특별자치도 익산시 마동  산 41-0,익산자이 그랜드파크,1431
2025-09,전북,분양임대,전북특별자치도 익산시 모현동2가  1-5,중흥S-클래스 퍼스트파크,834
2025-12,전북,분양,전북특별자치도 익산시 부송동  0-0,익산 부송 데시앙 ,745
2026-12,전북,분양,전북특별자치도 익산시 부송동  0-0,익산 부송 아이파크,511
2026-01,전북,임대,전북특별자치도 익산시 신동 808-1번지,신동 신혼 임대주택,44
2025-03,전북,분양임대,전북특별자치도 익산시 평화동  0-0,안단테,1382
2025-00,전북,분양,전북특별자치도 익산시 함열읍 와리 638-4,북익산 오투그란데 더원,259
2025-10,전북,분양,전북특별자치도 임실군 임실읍 이도리 214-0,임실 고운라피네 더 퍼스트,129
2025-03,전북,임대,전북특별자치도 장수군 장수읍 장수리 430-3,전북장수 1블록(국민임대),120
